nome;codigo;lat;lon
ARIRANHA;A736;-21.133056;-48.840556
AVARE;A725;-23.101667;-48.941
BARRA BONITA;A741;-22.471;-48.557500
BARRA DO TURVO;A746;-24.962778;-48.416389
BARRETOS;A748;-20.559167;-48.545000
BARUERI;A755;-23.523889;-46.869444
BAURU;A705;-22.358056;-49.028889
BEBEDOURO;A764;-20.948056;-48.471389
BERTIOGA;A765;-23.844722;-46.143333
BRAGANCA PAULISTA;A744;-22.949167;-46.5261
CACHOEIRA PAULISTA;A769;-22.688889;-45.005556
CAMPOS DO JORDAO;A706;-22.750278;-45.603889
CASA BRANCA;A738;-21.780556;-47.075278
DRACENA;A762;-21.457778;-51.552222
FRANCA;A708;-20.584444;-47.382500
IBITINGA;A737;-21.855556;-48.799722
IGUAPE;A712;-24.671667;-47.545833
IPERO;A713;-23.4261;-47.585556
ITAPEVA;A714;-23.981944;-48.885833
ITAPIRA;A739;-22.415000;-46.805278
ITUVERAVA;A753;-20.359722;-47.775278
JALES;A733;-20.165000;-50.595000
JOSE BONIFACIO;A735;-21.085556;-49.920278
LINS;A727;-21.6661;-49.734722
MARILIA;A763;-22.235278;-49.965000
OURINHOS;A716;-23.000556;-49.843333
PIRACICABA;A726;-22.703056;-47.623333
PRADOPOLIS;A747;-21.338333;-48.1
PRESIDENTE PRUDENTE;A707;-22.120000;-51.40861
RANCHARIA;A718;-22.372778;-50.974722
REGISTRO;A766;-24.533056;-47.864167
SAO CARLOS;A711;-21.980278;-47.883889
SAO LUIZ DO PARAITINGA;A740;-23.228333;-45.416944
SAO MIGUEL ARCANJO;A715;-23.890833;-47.999167
SAO PAULO - INTERLAGOS;A771;-23.724444;-46.677500
SAO PAULO - MIRANTE;A701;-23.496289;-46.620067
SAO SIMAO;A770;-21.461;-47.579444
TAUBATE;A728;-23.041667;-45.520833
TUPA;A768;-21.927222;-50.490278
VALPARAISO;A734;-21.319167;-50.930278